probe_id,gene_id
cg13161614,UBE2D4
cg00645593,FZD8
cg18454654,CEP164
cg18347642,KCNIP4
cg16550477,FAM9A
cg07194830,ANKRD26P1
cg27263894,FUNDC2
cg06133110,SCRN1
cg18764577,LAMA1
cg24188797,GUCY1B3
cg01222290,KRT78
cg23194206,MEF2A
cg17331315,ATP5J
cg17331315,GABPA
cg17604181,SNORA47
cg17604181,ZBED3
cg10314411,C1orf186
cg19148297,LDHA
cg26012731,CXorf61
cg25877179,SNORD42B
cg25877179,RPL23A
cg11057802,SENCR
cg11057802,FLI1
cg17412405,FEM1C
cg05296869,CFAP52
cg05296869,STX8
cg02510736,ZCCHC24
cg23865187,LINGO1
cg19231170,C1QTNF1
cg19231170,C1QTNF1-AS1
cg25235648,CYP1A2
cg12177942,SRM
cg02530095,CREM
cg11968091,ODZ4
cg11009100,KIAA1217
cg02690159,ENKUR
cg02690159,THNSL1
cg13379851,ARPIN
cg13379851,C15orf38-AP3S2
cg21380842,KCNJ6
cg00602891,C17orf62
cg03077789,NDFIP1
cg12539787,IGF2BP2-AS1
cg12539787,IGF2BP2
cg14514991,OR6N1
cg24500959,MARVELD1
cg04288036,NXF1
cg04288036,TMEM223
cg12748638,OSBPL8
cg01262913,DSCR9
cg15070208,FAM19A3
cg17218342,SLC37A1
cg10051299,PACS2
cg00925717,SCNN1B
cg17668781,FAM55A
cg25751266,LOC100128640
cg25751266,ACVR2B
cg04700814,HEXIM1
cg05794227,OGFOD1
cg05794227,NUDT21
cg22471742,TIMM13
cg19805311,MFSD2B
cg15952216,MXI1
cg09063722,CALN1
cg15283028,L3MBTL2
cg10366786,SNORA26
cg10366786,KIAA0114
cg19605909,YIPF6
cg00102591,PCOTH
cg00102591,MIPEP
cg07612655,PTGIS
cg22865299,TMEM165
cg16490896,FCHSD2
cg03795874,RAD51AP1
cg03795874,C12orf4
cg11188799,MAPK14
cg20438269,CLDN8
cg00084888,TMEM254
cg00084888,TMEM254-AS1
cg22298860,HLA-F
cg24016056,PPP1R14B
cg03983883,ZC2HC1A
cg26053291,FLJ40330
cg13945556,ABTB1
cg13945556,PODXL2
cg12406027,PAK4
cg22448308,MESDC1
cg23266594,CDX1
cg02993010,FAM91A1
cg26872137,UNC5D
cg00174855,HELLS
cg17837371,A2MP1
cg21619825,CYFIP1
cg03353971,TMEM98
cg08055924,MIR574
cg08055924,FAM114A1
cg11229871,ZNF623
cg07821574,MAST3
cg16551963,C1orf146
cg12588082,CSNK1G2
cg13823403,CASC3
cg01845178,PRRT2
cg01625368,LMO2
cg02624129,SNX19
cg15538837,H3F3A
cg15538837,LOC440926
cg22551196,IKBIP
cg22551196,APAF1
cg18553354,ELK3
cg07102302,GPR137B
cg11413800,MAST1
cg02726739,BAHD1
cg09322114,C22orf30
cg10544611,SLC12A4
cg16505946,ZBTB12
cg01802653,HERC3
cg09149894,ATF6B
cg09149894,FKBPL
cg12486635,INHBC
cg25188071,MIR296
cg03326689,MYO5C
cg14491479,ZC3H3
cg23581009,SEMA3B
cg23581009,MIR6872
cg10372372,PSMC3IP
cg21367957,F10
cg24964318,LMBRD1
cg06608224,KIAA0100
cg15558558,WHAMM
cg19098493,GSTZ1
cg19098493,POMT2
cg18383680,NOS1AP
cg10012740,ATP2B2
cg16354091,NME5
cg12144905,ATP2B4
cg24915371,PDE6D
cg07430505,CC2D1A
cg07430505,C19orf57
cg19544996,LOC101926942
cg19695225,TPPP3
cg24888621,DDX26B
cg10526031,PDZRN3
cg15360169,PHF10
cg11739541,TUBA1A
cg00075019,RSG1
cg05770171,BAAT
cg22914934,C11orf30
cg11574745,PPP1R3G
cg25365404,LIPA
cg26111107,MIR454
cg26111107,SKA2
cg23583457,LOC101928790
cg23583457,PEX5L
cg03014622,SEC14L4
cg17891486,CHN2
cg04960591,HDHD3
cg01991383,FOXRED1
cg01991383,SRPR
cg20851325,AVPR2
cg26196700,SORD
cg22014737,TMEM68
cg22014737,TGS1
cg00172330,FAM76A
cg22975352,SR140
cg11558654,PCDHB11
cg09649245,ALX4
cg06188746,HOXA-AS3
cg04358214,C16orf70
cg23016695,GABRG1
cg05385260,SLC22A18AS
cg05385260,SLC22A18
cg20870000,TACC1
cg15929587,GMPR2
cg15929587,NEDD8
cg14977496,ZFP57
cg04006656,MAP2K5
cg17895236,NTN1
cg19591206,SLCO2A1
cg21604743,PNPLA4
cg21379885,RPL19
cg17762192,NBEAL1
cg22374058,C11orf65
cg04686114,PTGES3
cg20281573,TRIM36
cg19306063,C10orf125
cg05398769,CASZ1
cg19747604,CCDC8
cg04844120,CABIN1
cg07065217,CRIP1
cg17422460,BAT4
cg17422460,CSNK2B
cg13531599,TOX2
cg05803631,PER3
cg05215474,MIR6791
cg05215474,GPR108
cg15949830,GPRC5C
cg10330169,DIS3L2
cg21474351,CCBP2
cg12936627,PTTG1IP
cg07915849,ABCA17P
cg07915849,ABCA3
cg02966722,GOLGA8B
cg02321845,TBC1D22A
cg26486113,TIMM50
cg13168129,ATF5
cg13168129,IL4I1
cg13168129,NUP62
cg21634673,PHF13
cg25555772,P2RY6
cg25080260,LPP
cg06637938,RPS6KL1
cg14108711,C9orf16
cg27167439,C1orf21
cg14511259,CCDC158
cg05316555,TRIB1
cg23990535,NMNAT1
cg23990535,LZIC
cg06517489,SLC17A6
cg02765820,C3orf22
cg26802063,ARSB
cg13419791,ST6GAL1
cg10766103,TIMELESS
cg02842889,ZFY
cg14318180,ABHD2
cg19897251,MRPL15
cg01683000,DEFB106B
cg01683000,DEFB105A
cg01683000,DEFB105B
cg01683000,DEFB106A
cg25257709,NHLRC3
cg25257709,C13orf23
cg23518257,FEM1A
cg26549029,PGAM5
cg14150252,UGP2
cg11898486,LYPD5
cg04166393,GNA12
cg01968493,ZNF804A
cg00110785,IGFBP1
cg04144222,ANXA9
cg17256555,UTP23
cg02985292,C16orf13
cg18422603,CCNL1
cg06523030,CSMD3
cg03044510,ATP5J
cg03044510,GABPA
cg05845292,SNN
cg03045721,ZNF594
cg27561528,KIAA1549L
cg14890446,GATSL3
cg23490289,ZNF614
cg12648537,RGS22
cg08482978,PHRF1
cg08482978,LOC143666
cg03042870,RFX3
cg14277925,TSPAN4
cg07159871,C20orf95
cg18683691,TTLL8
cg24536114,RBMXL1
cg24536114,CCBL2
cg08683731,OR9Q1
cg19375314,ZBTB10
cg24952959,TGFBR2
cg00393957,ATXN1
cg20809991,CTDSP1
cg23036452,ATP2B4
cg01662102,HSPA13
cg11029746,PPCDC
cg02582514,MIR410
cg02582514,MIR656
cg05177782,AMOT
cg11691038,C12orf40
cg19230532,IGF2BP2
cg24054938,NPR1
cg07048479,INPP5A
cg04369555,HTATSF1
cg23467008,ESR1
cg01282150,SACS
cg00028678,ARHGEF4
cg24703625,NRIP1
cg22782018,NDNF
cg03070533,HMGXB4
cg14814195,FOXQ1
cg11906176,VDAC2
cg10620330,FMO1
cg00808492,REG4
cg08066675,PDHB
cg21746222,PIP4K2B
cg18755191,ITGAE
cg18755191,GSG2
cg24569624,CCKBR
cg08847738,AKTIP
cg05322222,TMEM151A
cg07946732,FAM214B
cg13132027,ATP2C1
cg19846342,ZNF263
cg08859278,ZAP70
cg25739259,CHRNA3
cg12201498,COL4A3BP
cg12201498,POLK
cg18623476,TSPYL4
cg20431024,ZCCHC8
cg14753458,IP6K2
cg24666276,MYC
cg03761905,TSPEAR
cg00617975,C22orf40
cg13968182,ZNF653
cg19207295,WDR53
cg19207295,FBXO45
cg04062576,SOAT2
cg20923676,ALS2CR8
cg15482690,TARDBP
cg11010122,DNAJB14
cg04354845,GLT6D1
cg08210814,DISC1-IT1
cg08210814,DISC1
cg08210814,TSNAX-DISC1
cg15612847,MITD1
cg15612847,MRPL30
cg25928603,SATB2
cg23983340,CD46
cg26660414,SLC7A8
cg08784464,ETV1
cg10101975,IP6K2
cg00792783,PLCL1
cg15057250,LOC728448
cg01471196,ZNF334
cg09192059,DMD
cg22499348,NRF1
cg20295105,HRK
cg01496970,FAM185A
cg12019980,ZNF599
cg04381006,FAM149B1
cg04381006,ECD
cg25542337,IQCE
cg15843675,MT3
cg27033754,ST3GAL3
cg27033754,KDM4A-AS1
cg07716603,IRAK2
cg02959551,C6orf47
cg21565823,BHLHA9
cg25083463,FAM129B
cg04563870,TNNT3
cg16579225,RER1
cg16579225,MORN1
cg23808931,TMEM183A
cg23808931,TMEM183B
cg17374534,FAM198A
cg26055054,DDX26B
cg24980367,MST1R
cg14408262,INF2
cg12736384,CREB5
cg06255741,PKD1
cg11223816,USO1
cg13335388,LTB
cg07574908,HECTD4
cg03853587,LEPROT
cg03853587,LEPR
cg19430897,HIST1H2AB
cg04575263,RBM15
cg17313420,UBE2L3
cg03128241,LIMCH1
cg25649672,IARS
cg04353304,SPIC
cg10957242,STOX2
cg13469346,PRKCD
cg10434947,C21orf57
cg17255712,SOX9
cg10618553,HPD
cg06161723,APOA5
cg07061916,DACH1
cg16505237,DGAT1
cg17325716,TTC32
cg20018561,ALG11
cg20018561,ATP7B
cg21026634,CTBP2
cg03408556,C1orf229
cg15278204,HVCN1
cg05853389,ARHGEF18
cg10308137,SAT1
cg08893895,POLE2
cg14778280,LINC01526
cg08477744,MFAP2
cg18757815,LUZP2
cg14268714,INSL6
cg07056138,NCALD
cg22416916,SLC22A1
cg09088834,NINL
cg16553500,COL16A1
cg19586199,PRKACA
cg09918605,ZNF514
cg00901034,TENM1
cg14220262,TTLL10
cg04396637,CSRNP2
cg01131321,FAM24B-CUZD1
cg01131321,FAM24B
cg02152120,SPAG17
cg22069441,NDUFB11
cg22069441,RBM10
cg23202058,ENPP6
cg08151705,SLFN13
cg17101542,PCDHB12
cg02688746,PRODH
cg16802508,SSH3
cg05765254,RPTN
cg21256968,FAM47E
cg21256968,SCARB2
cg26538529,EPHA4
cg06730161,CNTN1
cg08522087,ANKH
cg03354771,CDKN1A
cg04779428,GNAS
cg17307912,TNK1
cg13408955,ARHGEF7
cg05457373,SMAD6
cg05422360,MAGEE1
cg14011845,TBX4
cg16426322,CCDC158
cg20154743,ZNF562
cg15874062,INPP4B
cg14146959,DFNA5
cg03674265,ZNF767
cg00341878,SORBS2
cg24860511,GNG7
cg19477190,CST9
cg21852905,ASH1L
cg21852905,LOC645676
cg21000936,B3GNTL1
cg26200001,ZNF451
cg18511007,COL1A2
cg04836978,LOC139201
cg04836978,CHIC1
cg05785120,DMC1
cg16681377,CMA1
cg11539780,ZNF471
cg06895834,TRIM73
cg06895834,TRIM74
cg18896174,LRRK1
cg24731241,TGM3
cg06578786,SLC2A9
cg14538441,PIGY
cg14209549,PITRM1
cg02530971,MCFD2
cg02530971,TTC7A
cg04395184,XPO6
cg24881910,FCRL3
cg14006005,PICALM
cg24094513,CDH23
cg13267486,SLITRK2
cg03939087,FLYWCH2
cg26245048,GFOD1
cg26119894,SIRPA
cg11271685,CGB2
cg04284122,ZNF485
cg01602153,FAM110B
cg22798261,THEG
cg15821214,PROM2
cg07561469,CCNF
cg13150320,PIP5KL1
cg02198192,DRD2
cg01325116,LOC285375
cg06649737,KLHDC9
cg19958696,ACAT1
cg05351940,ARPC2
cg19781472,GLS2
cg10038504,MTAP
cg24408907,SLC20A2
cg17975314,SLC19A1
cg07596314,SHISA5
cg06873316,NELL1
cg17807528,EIF5A2
cg27542476,EZH2
cg24911934,RTTN
cg04415168,ZBTB22
cg04415168,TAPBP
cg27348710,PCDHA1
cg17050643,ZSCAN2
cg15816817,LINC01152
cg16703647,CRABP1
cg04072323,SPHKAP
cg26701226,WSCD1
cg17398851,PRR24
cg09180239,KIAA0182
cg02830632,PSMA5
cg08778580,TMEM229B
cg18898194,ZNF395
cg01237565,BRF1
cg01237565,BTBD6
cg16693881,SETD1A
cg09201001,SPTY2D1
cg00885176,XKR9
cg00885176,LACTB2
cg16071772,COPRS
cg10168894,RAB21
cg12989020,ARID1B
cg08584627,VWA3B
cg19134374,TOMM20L
cg11689406,SELENBP1
cg14548597,KSR1
cg02694955,MFSD9
cg16787065,OVOL1
cg06334737,SCGB2A1
cg24908618,CGGBP1
cg10892454,KIAA1009
cg02488385,CLIC6
cg11076970,HLA-DOA
cg12866648,NKX3-1
cg18090103,FIGNL1
cg15257376,ZBTB38
cg22403971,MAN1A1
cg23643471,ZNF527
cg04834613,TMEM116
cg12458361,PNPLA8
cg09633152,HNRNPA3
cg09633152,MIR4444-1
cg09633152,MIR4444-2
cg27558666,KLB
cg08398371,CCDC97
cg11353984,SFRS12
cg22394651,AKR1C3
cg14278345,IL17REL
cg12594800,ELF4
cg08134704,GTF2F2
cg06122933,LEO1
cg10287137,P2RY2
cg11184340,HIBADH
cg06694588,CDKL5
cg22730305,PPP1R14A
cg09404721,ZNF366
cg00376283,ABCB9
cg25219415,EHF
cg20957029,ZNF705G
cg24744210,SEPT9
cg20277250,NSA2
cg20277250,GFM2
cg22493117,TRMT1
cg22493117,NACC1
cg01421963,ZNF441
cg13817395,TNXB
cg26036406,TACC2
cg18736183,CTXN3
cg12943539,GPN1
cg12943539,CCDC121
cg19844840,FAM86C
cg08649436,NCMAP
cg10580335,SLC41A3
cg03852963,ANKRD11
cg04169830,THNSL2
cg13112361,HRASLS5
cg10487414,OLFML3
cg07826657,MAPKAP1
cg09655782,SRP72
cg19739774,RPA3
cg23105820,MOG
cg00808121,DLG1
cg00808121,DLG1-AS1
cg24383891,MLLT3
cg26422488,MYO10
cg26772810,CRYGC
cg26772810,LOC100507443
cg09258150,ICAM4
cg19470726,TMEM51
cg15696968,KIAA1949
cg15696968,NRM
cg11717969,SLC38A7
cg08234411,SCAPER
cg03251079,HMGA2
cg03251079,RPSAP52
cg03061960,ZNF658
cg05962950,SNX19
cg21513466,DCAF8L2
cg26150142,OR2L13
cg03798428,GAB3
cg03337507,COL13A1
cg03302009,NPLOC4
cg17109273,TINF2
cg12825577,HS3ST2
cg16985113,CFL1
cg04096472,CREB3L2
cg11717907,BCL2L2-PABPN1
cg11717907,BCL2L2
cg06496084,GPRIN3
cg00977164,MTF1
cg08039823,ZBTB9
cg00062776,TULP2
cg19518232,C4orf3
cg13558754,HSPB6
cg13558754,C19orf55
cg17349289,PNPLA1
cg18864914,ATP5A1
cg22985134,CLDN2
cg25334112,LINC01234
cg14593306,ZNF331
cg19878017,MIR892B
cg05863502,CACNA1B
cg19974483,TBC1D31
cg16848098,KIAA0907
cg10899301,TFAP2A
cg11059617,SIX4
cg21833837,KIAA1026
cg04907523,VASH2
cg15081901,HHIPL1
cg08286799,TUBB3
cg08818886,SYAP1
cg13705119,TBRG4
cg27354051,ATG14
cg04230910,SLC2A12
cg08650784,GJB3
cg00266715,HS3ST3B1
cg21843015,PGLYRP3
cg06641959,IL4R
cg21048812,DMKN
cg11163620,GLRB
cg22512670,RPS6KA1
cg06399118,FGF1
cg06995624,ATP5H
cg06995624,KCTD2
cg25104558,ALPL
cg23777559,ALG14
cg05649651,CXorf21
cg03428951,FAM153C
cg12275410,ZNF511
cg12275410,TUBGCP2
cg01919204,GPT
cg17490932,ARHGAP29
cg22441074,MNT
cg04382191,SETD5
cg04382191,THUMPD3-AS1
cg16370869,C10orf78
cg27308166,NDUFS7
cg00659919,GNE
cg09757107,CDC42EP4
cg19607792,ACTL7B
cg14425722,ACVR2A
cg24159891,GGT1
cg24159891,C22orf36
cg14667837,ZNF430
cg08017248,GALK2
cg08017248,COPS2
cg25961199,VWA3B
cg02018101,SYNE2
cg10532262,NCEH1
cg17058777,LRTOMT
cg17058777,C11orf59
cg05647859,LIN7A
cg19599139,PHTF2
cg13601997,LMX1B
cg20393545,CBLC
cg21159768,MAGED2
cg15931205,HCG4P6
cg26625211,RHBDD2
cg19970699,TDRD10
cg19970699,SHE
cg20785136,PTGER3
cg01035422,PLIN1
cg08108321,COASY
cg21158815,BATF
cg00178511,COL7A1
cg03028106,CBX6
cg16511870,USP42
cg21211866,KIAA1539
cg11869186,SIVA1
cg17710617,FBLN5
cg18139238,MBNL1
cg17147317,CR1
cg25049597,CPLX3
cg11373810,SDCBP2
cg16546279,ATXN7L3
cg17847861,SPTBN4
cg17847861,BLVRB
cg16722764,ABR
cg22755816,RBM38
cg18347423,DPP9
cg23654968,CLCN5
cg22907065,RHOA
cg22907065,TCTA
cg27312312,KTN1
cg27312312,C14orf33
cg09628838,C17orf102
cg09628838,TMEM132E
cg02752958,ZP3
cg02752958,SRCRB4D
cg13516390,KCNAB2
cg13516390,NPHP4
cg19354156,LVRN
cg07735013,IL1F10
cg08040094,SH3GLB2
cg16743310,TOP1
cg06783686,KDM4C
cg07197053,MGC23284
cg07197053,MVD
cg06135996,DPPA2
cg25187648,GPX1
cg22595719,TXNRD3IT1
cg11783003,ATF7IP
cg10313047,DNAH1
cg13140621,WDR81
cg17653583,ST7OT3
cg17653583,ST7
cg03068646,HIATL1
cg16739845,C14orf184
cg13469471,DSP
cg05990420,SEPHS1
cg12190412,FUT8
cg08426200,AGPHD1
cg14435807,LOXL1
cg11472093,MBOAT7
cg11472093,TSEN34
cg17278771,RFX5
cg11540341,GTDC1
cg12905688,RBM5
cg15212137,MIR519A1
cg16963144,FOXA2
cg14885145,SUFU
cg14885145,ACTR1A
cg03631076,BANP
cg07141055,WFDC1
cg07753073,RIMKLB
cg08252165,UNC79
cg09399498,DMTF1
cg01322079,SFT2D1
cg23713377,EIF3G
cg15611108,NR2F6
cg22306690,ABR
cg14733989,PGLS
cg06510642,SP140L
cg14386946,PRKRA
cg14386946,MIR548N
cg14386946,DFNB59
cg04151146,FLJ25328
cg25365565,HIST1H2AG
cg25365565,HIST1H2BJ
cg11332484,OTUD3
cg26706909,PPM1B
cg01772186,TBC1D22A
cg12095961,ELL
cg22417589,SMS
cg15174294,ZNF714
cg25042465,SNTG1
cg17689921,TAGLN2
cg20309240,LOC100240734
cg20309240,FLJ12825
cg01920232,RFX4
cg08303228,MIR542
cg16561605,HMOX2
cg09639571,FNTA
cg03521600,MTBP
cg03521600,MRPL13
cg03690814,NEIL2
cg19202058,CBLN2
cg18960028,UVRAG
cg17922231,MCIDAS
cg12403482,SIGLEC15
cg03182973,OLFM1
cg24748771,PRDM15
cg24376021,ZNF574
cg14492599,HRNBP3
cg23069036,FBXO33
cg18328404,UBE2B
cg21494642,XIAP
cg02659148,MCFD2
cg02659148,TTC7A
cg23709117,FOXO3
cg13982688,FBP1
cg26877022,POLR2B
cg10979469,MMP27
cg20141534,RARG
cg22741626,GNAS
cg15965474,ZNF101
cg02277530,SEPT9
cg26432608,KATNA1
cg20961280,EYA3
cg05689321,IGFBP2
cg07620334,GSN
cg08333708,TBC1D24
cg04180085,SULT1C2P1
cg16643840,IRF4
cg03021048,CYP4X1
cg20339553,C2orf3
cg04917511,C2orf70
cg20790496,BCL2L13
cg05424199,PHKG2
cg15544402,SF3B14
cg24583966,KISS1
cg21965697,DUSP13
cg05772560,RMND1
cg18194292,TMEM45A
cg25337069,ETF1
cg20637249,COL19A1
cg26456957,PPP1R12C
cg10019095,NBPF3
cg12326700,LRRC43
cg22991320,C20orf85
cg19621579,SHMT2
cg02329175,CTDSP2
cg12747525,MSRB3
cg19833011,PPM1J
cg15867164,DOK7
cg19946085,CYP19A1
cg04448648,SMIM5
cg04448648,RECQL5
cg25461267,KRIT1
cg25461267,ANKIB1
cg27455578,C7orf23
cg15437610,PXK
cg25994584,C4orf22
cg24612990,LYZL6
cg16629637,FAIM
cg00371226,CAPN3
cg04398983,CDH1
cg20116804,C6orf138
cg02679294,DHRS4L2
cg09990584,AKR7L
cg24509282,GSG1L2
cg21156771,C11orf73
cg23684449,GPT2
cg08799865,NT5C2
cg03559817,SMAD5
cg03559817,SMAD5OS
cg09178700,OCA2
cg06977494,BDKRB2
cg24519108,ANGPT2
cg24519108,MCPH1
cg22461615,THAP9
cg11888066,CAPZB
cg14405643,IER5L
cg16550124,LINC00921
cg01910366,PTPRD
cg08796252,CYBRD1
cg02317785,WDR5B
cg20821042,HLA-DQA2
cg27339021,RNF11
cg16621700,FAM49B
cg18046299,RNU12
cg18046299,POLDIP3
cg17670640,TAP2
cg26815815,LARGE
cg13934606,NXPH4
cg03638642,HAGH
cg03638642,FAHD1
cg22080061,KIAA0754
cg22080061,MACF1
cg19384825,ISOC2
cg27216173,PCDH1
cg01905102,PPPDE1
cg27143326,ABHD6
cg07680601,LPIN3
cg08828607,RIOK2
cg02372113,KPNA6
cg17108364,MRPS35
cg17976635,ORAOV1
cg00094256,ANAPC4
cg20539307,CTSB
cg04839779,ADGRG1
cg20722587,BOC
cg19906777,PRKCZ
cg00519346,ZNF576
cg00519346,IRGQ
cg05704640,ART3
cg03311799,FOXN3
cg03311799,FOXN3-AS1
cg04789839,KIFC1
cg08665271,NFAT5
cg08665271,MIR1538
cg17468254,KIAA1211L
cg12419199,LEPR
cg03962411,ADC
cg24786847,AVEN
cg24786847,CHRM5
cg08130682,STAG2
cg21374793,ALS2
cg06794398,C1orf85
cg06327674,ARMC9
cg18932278,FAM196B
cg18932278,DOCK2
cg17281763,PFKFB4
cg13440296,TET2
cg26615813,STAC
cg04458548,FETUB
cg02285254,FHL1
cg03754063,KEAP1
cg21258987,GSPT2
cg06008401,ADAT1
cg01786306,OSCAR
cg21873359,KLHL29
cg03055499,PRKCA
cg10973967,LINC01585
cg10973967,CRTC3-AS1
cg23371050,ZNF283
cg17386466,CD8A
cg16289723,LIMA1
cg11185978,PRDX4
cg00370227,SOCS5
cg05555455,HLTF
cg13741289,LAP3
cg16616330,LINC01125
cg02167193,TUBB
cg07210017,PRR5L
cg06845943,PEAR1
cg22346702,NOL4
cg09548932,CETN2
cg09548932,NSDHL
cg04578828,SLC36A4
cg11801991,IARS
cg11683242,LCK
cg20439892,NGFRAP1
cg00629941,SCAMP5
cg22083798,IGFBP3
cg23761114,ADAMTS9
cg23761114,ADAMTS9-AS2
cg15620488,UQCRC2
cg24520968,C6orf204
cg24520968,BRD7P3
cg23163386,CNTN4
cg13649383,MATR3
cg05343289,SELP
cg13377564,MICAL3
cg18199664,NRXN3
cg11266940,TEX11
cg16588073,NES
cg19959921,OLFML3
cg09538573,MSRA
cg25202298,EHD3
cg15803122,SEPT9
cg17225340,DAB1
cg07276249,KIAA0100
cg15012572,SLC48A1
cg18725681,FITM2
cg01425709,CD33
cg17541810,ETV6
cg23657143,HMBOX1
cg10739979,PTRH2
cg02113971,METT11D1
cg02816367,FYN
cg00116628,FLJ11235
cg00116628,EPB41L4A
cg19062245,GPC6
cg25824226,EBAG9
cg25059590,HELQ
cg25059590,MRPS18C
cg21503377,RHOU
cg21534623,JAK1
cg13133747,MSC
cg13133747,MSC-AS1
cg10297165,PSME2
cg10297165,RNF31
cg03881382,KRTAP9-3
cg03881382,KRTAP9-9
cg13340457,DCUN1D2
cg13340457,TMCO3
cg02434860,FER
cg04947024,USP38
cg22938407,CEP72
cg11750789,NGLY1
cg27341236,LRRTM4
cg13606420,TMEM14C
cg18039556,RAB36
cg08889044,SERHL2
cg09095196,FUT8
cg13227833,CEP295NL
cg13227833,TIMP2
cg13009662,SLC12A2
cg13009662,FLJ33630
cg17449018,CYBASC3
cg17449018,TMEM138
cg22249338,PFDN4
cg06839900,HES5
cg07908422,CDKN2C
cg07261308,KCNE1
cg01021385,SCAP
cg05143078,EDC3
cg05827944,HYDIN
cg17865114,CLDN6
cg23255964,TMEM173
cg03508643,TFG
cg17198762,LOC390594
cg01310875,C8orf80
cg05757376,MIR548F5
cg05757376,DCLK1
cg14542196,PPP2R5C
cg15469871,LOC387646
cg13383235,RPA3
cg19028357,GOLGB1
cg21240214,WAC-AS1
cg21240214,WAC
cg02284889,PPME1
cg02284889,C2CD3
cg16915794,RAB13
cg08375300,LOC102723427
cg03641858,MORG1
cg03641858,MAN2B1
cg05684773,PPP1R7
cg05684773,PASK
cg14404746,RNF208
cg25214531,PDC
cg25214531,LOC102724919
cg25214531,MIR548F1
cg03953500,ME3
cg02114107,TENM4
cg25748712,KLC4
cg25748712,MRPL2
cg12019650,C11orf94
cg18453965,WIPF1
cg05611007,NKIRAS2
cg04335562,ZNF77
cg22212430,FOXN3
cg15521792,NUDT17
cg23039201,GPN1
cg23039201,CCDC121
cg25047056,KIAA1462
cg15880211,ZBED4
cg27338957,RGL2
cg18655113,CARD14
cg19101754,ZEB2-AS1
cg19101754,ZEB2
cg03672021,FLNA
cg04557544,SHISA9
cg20783319,NCAM1
cg11521318,TNRC6B
cg07138500,SNCAIP
cg05360265,STXBP5
cg22177795,SLC23A2
cg04776099,C12orf44
cg12266551,TOMM40
cg00858015,GTF3C6
cg26774156,STRA6
cg03441835,PPP1CB
cg23003534,INA
cg12314510,DYNLL2
cg22645159,MIR122
